,Your Prolific ID,Artwork Number,Question Type,Survey Column,Actual Sound,User Answer,Artwork Dynamism,Comment
36,1,P10,Harmony,Sound A,Sound B,2,1,
37,1,P10,Harmony,Sound B,Sound C,4,1,
38,1,P10,Harmony,Sound C,Sound A,1,1,
39,1,P10,Harmony,Sound D,Sound F,3,1,
40,1,P10,Dynamism,Sound A,Sound B,3,1,
41,1,P10,Dynamism,Sound B,Sound C,4,1,
42,1,P10,Dynamism,Sound C,Sound A,1,1,
43,1,P10,Dynamism,Sound D,Sound F,3,1,
44,1,P10,Quality,Sound A,Sound B,2,1,
45,1,P10,Quality,Sound B,Sound C,5,1,
46,1,P10,Quality,Sound C,Sound A,1,1,
47,1,P10,Quality,Sound D,Sound F,3,1,
48,1,P5,Harmony,Sound A,Sound B,2,4,
49,1,P5,Harmony,Sound B,Sound C,4,4,
50,1,P5,Harmony,Sound C,Sound F,3,4,
51,1,P5,Harmony,Sound D,Sound A,1,4,
52,1,P5,Dynamism,Sound A,Sound B,2,4,
53,1,P5,Dynamism,Sound B,Sound C,4,4,
54,1,P5,Dynamism,Sound C,Sound F,3,4,
55,1,P5,Dynamism,Sound D,Sound A,1,4,
56,1,P5,Quality,Sound A,Sound B,1,4,
57,1,P5,Quality,Sound B,Sound C,4,4,
58,1,P5,Quality,Sound C,Sound F,3,4,
59,1,P5,Quality,Sound D,Sound A,1,4,
60,1,P6,Harmony,Sound A,Sound B,3,4,
61,1,P6,Harmony,Sound B,Sound F,3,4,
62,1,P6,Harmony,Sound C,Sound C,4,4,
63,1,P6,Harmony,Sound D,Sound A,1,4,
64,1,P6,Dynamism,Sound A,Sound B,2,4,
65,1,P6,Dynamism,Sound B,Sound F,3,4,
66,1,P6,Dynamism,Sound C,Sound C,2,4,
67,1,P6,Dynamism,Sound D,Sound A,1,4,
68,1,P6,Quality,Sound A,Sound B,2,4,
69,1,P6,Quality,Sound B,Sound F,3,4,
70,1,P6,Quality,Sound C,Sound C,5,4,
71,1,P6,Quality,Sound D,Sound A,1,4,
72,1,P11,Harmony,Sound A,Sound B,3,3,
73,1,P11,Harmony,Sound B,Sound F,3,3,
74,1,P11,Harmony,Sound C,Sound C,5,3,
75,1,P11,Harmony,Sound D,Sound A,1,3,
76,1,P11,Dynamism,Sound A,Sound B,3,3,
77,1,P11,Dynamism,Sound B,Sound F,3,3,
78,1,P11,Dynamism,Sound C,Sound C,5,3,
79,1,P11,Dynamism,Sound D,Sound A,1,3,
80,1,P11,Quality,Sound A,Sound B,2,3,
81,1,P11,Quality,Sound B,Sound F,3,3,
82,1,P11,Quality,Sound C,Sound C,4,3,
83,1,P11,Quality,Sound D,Sound A,1,3,
84,1,P3,Harmony,Sound A,Sound A,1,5,
85,1,P3,Harmony,Sound B,Sound C,5,5,
86,1,P3,Harmony,Sound C,Sound F,3,5,
87,1,P3,Harmony,Sound D,Sound B,2,5,
88,1,P3,Dynamism,Sound A,Sound A,1,5,
89,1,P3,Dynamism,Sound B,Sound C,5,5,
90,1,P3,Dynamism,Sound C,Sound F,3,5,
91,1,P3,Dynamism,Sound D,Sound B,2,5,
92,1,P3,Quality,Sound A,Sound A,1,5,
93,1,P3,Quality,Sound B,Sound C,5,5,
94,1,P3,Quality,Sound C,Sound F,3,5,
95,1,P3,Quality,Sound D,Sound B,1,5,
96,1,P1,Harmony,Sound A,Sound C,5,5,
97,1,P1,Harmony,Sound B,Sound B,1,5,
98,1,P1,Harmony,Sound C,Sound F,3,5,
99,1,P1,Harmony,Sound D,Sound A,2,5,
100,1,P1,Dynamism,Sound A,Sound C,5,5,
101,1,P1,Dynamism,Sound B,Sound B,2,5,
102,1,P1,Dynamism,Sound C,Sound F,3,5,
103,1,P1,Dynamism,Sound D,Sound A,2,5,
104,1,P1,Quality,Sound A,Sound C,4,5,
105,1,P1,Quality,Sound B,Sound B,2,5,
106,1,P1,Quality,Sound C,Sound F,3,5,
107,1,P1,Quality,Sound D,Sound A,1,5,
108,1,P12,Harmony,Sound A,Sound B,2,2,
109,1,P12,Harmony,Sound B,Sound A,1,2,
110,1,P12,Harmony,Sound C,Sound C,4,2,
111,1,P12,Harmony,Sound D,Sound F,3,2,
112,1,P12,Dynamism,Sound A,Sound B,3,2,
113,1,P12,Dynamism,Sound B,Sound A,1,2,
114,1,P12,Dynamism,Sound C,Sound C,5,2,
115,1,P12,Dynamism,Sound D,Sound F,3,2,
116,1,P12,Quality,Sound A,Sound B,2,2,
117,1,P12,Quality,Sound B,Sound A,2,2,
118,1,P12,Quality,Sound C,Sound C,4,2,
119,1,P12,Quality,Sound D,Sound F,3,2,
120,1,P7,Harmony,Sound A,Sound C,5,3,
121,1,P7,Harmony,Sound B,Sound B,2,3,
122,1,P7,Harmony,Sound C,Sound A,2,3,
123,1,P7,Harmony,Sound D,Sound F,3,3,
124,1,P7,Dynamism,Sound A,Sound C,4,3,
125,1,P7,Dynamism,Sound B,Sound B,3,3,
126,1,P7,Dynamism,Sound C,Sound A,2,3,
127,1,P7,Dynamism,Sound D,Sound F,3,3,
128,1,P7,Quality,Sound A,Sound C,4,3,
129,1,P7,Quality,Sound B,Sound B,3,3,
130,1,P7,Quality,Sound C,Sound A,1,3,
131,1,P7,Quality,Sound D,Sound F,3,3,
132,1,P9,Harmony,Sound A,Sound B,4,3,
133,1,P9,Harmony,Sound B,Sound F,3,3,
134,1,P9,Harmony,Sound C,Sound C,5,3,
135,1,P9,Harmony,Sound D,Sound A,1,3,
136,1,P9,Dynamism,Sound A,Sound B,3,3,
137,1,P9,Dynamism,Sound B,Sound F,3,3,
138,1,P9,Dynamism,Sound C,Sound C,4,3,
139,1,P9,Dynamism,Sound D,Sound A,1,3,
140,1,P9,Quality,Sound A,Sound B,2,3,
141,1,P9,Quality,Sound B,Sound F,3,3,
142,1,P9,Quality,Sound C,Sound C,5,3,
143,1,P9,Quality,Sound D,Sound A,2,3,
144,2,P2,Harmony,Sound A,Sound C,5,5,
145,2,P2,Harmony,Sound B,Sound F,3,5,
146,2,P2,Harmony,Sound C,Sound B,1,5,
147,2,P2,Harmony,Sound D,Sound A,1,5,
148,2,P2,Dynamism,Sound A,Sound C,5,5,
149,2,P2,Dynamism,Sound B,Sound F,3,5,
150,2,P2,Dynamism,Sound C,Sound B,1,5,
151,2,P2,Dynamism,Sound D,Sound A,1,5,
152,2,P2,Quality,Sound A,Sound C,5,5,
153,2,P2,Quality,Sound B,Sound F,3,5,
154,2,P2,Quality,Sound C,Sound B,1,5,
155,2,P2,Quality,Sound D,Sound A,1,5,
156,2,P8,Harmony,Sound A,Sound B,2,2,
157,2,P8,Harmony,Sound B,Sound A,1,2,
158,2,P8,Harmony,Sound C,Sound F,3,2,
159,2,P8,Harmony,Sound D,Sound C,5,2,
160,2,P8,Dynamism,Sound A,Sound B,1,2,
161,2,P8,Dynamism,Sound B,Sound A,1,2,
162,2,P8,Dynamism,Sound C,Sound F,3,2,
163,2,P8,Dynamism,Sound D,Sound C,4,2,
164,2,P8,Quality,Sound A,Sound B,2,2,
165,2,P8,Quality,Sound B,Sound A,1,2,
166,2,P8,Quality,Sound C,Sound F,3,2,
167,2,P8,Quality,Sound D,Sound C,5,2,
168,2,P4,Harmony,Sound A,Sound C,5,4,
169,2,P4,Harmony,Sound B,Sound B,2,4,
170,2,P4,Harmony,Sound C,Sound A,2,4,
171,2,P4,Harmony,Sound D,Sound F,3,4,
172,2,P4,Dynamism,Sound A,Sound C,5,4,
173,2,P4,Dynamism,Sound B,Sound B,3,4,
174,2,P4,Dynamism,Sound C,Sound A,2,4,
175,2,P4,Dynamism,Sound D,Sound F,3,4,
176,2,P4,Quality,Sound A,Sound C,5,4,
177,2,P4,Quality,Sound B,Sound B,1,4,
178,2,P4,Quality,Sound C,Sound A,1,4,
179,2,P4,Quality,Sound D,Sound F,3,4,
180,2,P10,Harmony,Sound A,Sound B,3,2,
181,2,P10,Harmony,Sound B,Sound C,5,2,
182,2,P10,Harmony,Sound C,Sound A,2,2,
183,2,P10,Harmony,Sound D,Sound F,3,2,
184,2,P10,Dynamism,Sound A,Sound B,4,2,
185,2,P10,Dynamism,Sound B,Sound C,5,2,
186,2,P10,Dynamism,Sound C,Sound A,2,2,
187,2,P10,Dynamism,Sound D,Sound F,3,2,
188,2,P10,Quality,Sound A,Sound B,1,2,
189,2,P10,Quality,Sound B,Sound C,4,2,
190,2,P10,Quality,Sound C,Sound A,2,2,
191,2,P10,Quality,Sound D,Sound F,3,2,
192,2,P5,Harmony,Sound A,Sound B,2,4,
193,2,P5,Harmony,Sound B,Sound C,5,4,
194,2,P5,Harmony,Sound C,Sound F,3,4,
195,2,P5,Harmony,Sound D,Sound A,2,4,
196,2,P5,Dynamism,Sound A,Sound B,2,4,
197,2,P5,Dynamism,Sound B,Sound C,5,4,
198,2,P5,Dynamism,Sound C,Sound F,3,4,
199,2,P5,Dynamism,Sound D,Sound A,2,4,
200,2,P5,Quality,Sound A,Sound B,2,4,
201,2,P5,Quality,Sound B,Sound C,4,4,
202,2,P5,Quality,Sound C,Sound F,3,4,
203,2,P5,Quality,Sound D,Sound A,3,4,
204,2,P6,Harmony,Sound A,Sound B,2,4,
205,2,P6,Harmony,Sound B,Sound F,3,4,
206,2,P6,Harmony,Sound C,Sound C,5,4,
207,2,P6,Harmony,Sound D,Sound A,1,4,
208,2,P6,Dynamism,Sound A,Sound B,2,4,
209,2,P6,Dynamism,Sound B,Sound F,3,4,
210,2,P6,Dynamism,Sound C,Sound C,5,4,
211,2,P6,Dynamism,Sound D,Sound A,1,4,
212,2,P6,Quality,Sound A,Sound B,2,4,
213,2,P6,Quality,Sound B,Sound F,3,4,
214,2,P6,Quality,Sound C,Sound C,5,4,
215,2,P6,Quality,Sound D,Sound A,2,4,
216,2,P11,Harmony,Sound A,Sound B,2,2,
217,2,P11,Harmony,Sound B,Sound F,3,2,
218,2,P11,Harmony,Sound C,Sound C,4,2,
219,2,P11,Harmony,Sound D,Sound A,1,2,
220,2,P11,Dynamism,Sound A,Sound B,3,2,
221,2,P11,Dynamism,Sound B,Sound F,3,2,
222,2,P11,Dynamism,Sound C,Sound C,5,2,
223,2,P11,Dynamism,Sound D,Sound A,1,2,
224,2,P11,Quality,Sound A,Sound B,1,2,
225,2,P11,Quality,Sound B,Sound F,3,2,
226,2,P11,Quality,Sound C,Sound C,3,2,
227,2,P11,Quality,Sound D,Sound A,2,2,
228,2,P3,Harmony,Sound A,Sound A,2,4,
229,2,P3,Harmony,Sound B,Sound C,5,4,
230,2,P3,Harmony,Sound C,Sound F,3,4,
231,2,P3,Harmony,Sound D,Sound B,2,4,
232,2,P3,Dynamism,Sound A,Sound A,2,4,
233,2,P3,Dynamism,Sound B,Sound C,5,4,
234,2,P3,Dynamism,Sound C,Sound F,3,4,
235,2,P3,Dynamism,Sound D,Sound B,2,4,
236,2,P3,Quality,Sound A,Sound A,2,4,
237,2,P3,Quality,Sound B,Sound C,1,4,
238,2,P3,Quality,Sound C,Sound F,3,4,
239,2,P3,Quality,Sound D,Sound B,1,4,
240,2,P1,Harmony,Sound A,Sound C,4,5,
241,2,P1,Harmony,Sound B,Sound B,2,5,
242,2,P1,Harmony,Sound C,Sound F,3,5,
243,2,P1,Harmony,Sound D,Sound A,1,5,
244,2,P1,Dynamism,Sound A,Sound C,5,5,
245,2,P1,Dynamism,Sound B,Sound B,2,5,
246,2,P1,Dynamism,Sound C,Sound F,3,5,
247,2,P1,Dynamism,Sound D,Sound A,1,5,
248,2,P1,Quality,Sound A,Sound C,5,5,
249,2,P1,Quality,Sound B,Sound B,1,5,
250,2,P1,Quality,Sound C,Sound F,3,5,
251,2,P1,Quality,Sound D,Sound A,1,5,
252,2,P12,Harmony,Sound A,Sound B,1,2,
253,2,P12,Harmony,Sound B,Sound A,2,2,
254,2,P12,Harmony,Sound C,Sound C,5,2,
255,2,P12,Harmony,Sound D,Sound F,3,2,
256,2,P12,Dynamism,Sound A,Sound B,3,2,
257,2,P12,Dynamism,Sound B,Sound A,1,2,
258,2,P12,Dynamism,Sound C,Sound C,5,2,
259,2,P12,Dynamism,Sound D,Sound F,3,2,
260,2,P12,Quality,Sound A,Sound B,1,2,
261,2,P12,Quality,Sound B,Sound A,1,2,
262,2,P12,Quality,Sound C,Sound C,5,2,
263,2,P12,Quality,Sound D,Sound F,3,2,
264,2,P7,Harmony,Sound A,Sound C,5,3,
265,2,P7,Harmony,Sound B,Sound B,1,3,
266,2,P7,Harmony,Sound C,Sound A,1,3,
267,2,P7,Harmony,Sound D,Sound F,3,3,
268,2,P7,Dynamism,Sound A,Sound C,5,3,
269,2,P7,Dynamism,Sound B,Sound B,3,3,
270,2,P7,Dynamism,Sound C,Sound A,2,3,
271,2,P7,Dynamism,Sound D,Sound F,3,3,
272,2,P7,Quality,Sound A,Sound C,5,3,
273,2,P7,Quality,Sound B,Sound B,1,3,
274,2,P7,Quality,Sound C,Sound A,1,3,
275,2,P7,Quality,Sound D,Sound F,3,3,
276,2,P9,Harmony,Sound A,Sound B,1,2,
277,2,P9,Harmony,Sound B,Sound F,3,2,
278,2,P9,Harmony,Sound C,Sound C,5,2,
279,2,P9,Harmony,Sound D,Sound A,2,2,
280,2,P9,Dynamism,Sound A,Sound B,2,2,
281,2,P9,Dynamism,Sound B,Sound F,3,2,
282,2,P9,Dynamism,Sound C,Sound C,5,2,
283,2,P9,Dynamism,Sound D,Sound A,2,2,
284,2,P9,Quality,Sound A,Sound B,1,2,
285,2,P9,Quality,Sound B,Sound F,3,2,
286,2,P9,Quality,Sound C,Sound C,5,2,
287,2,P9,Quality,Sound D,Sound A,1,2,
288,3,P2,Harmony,Sound A,Sound C,5,4,
289,3,P2,Harmony,Sound B,Sound F,3,4,
290,3,P2,Harmony,Sound C,Sound B,1,4,
291,3,P2,Harmony,Sound D,Sound A,1,4,
292,3,P2,Dynamism,Sound A,Sound C,5,4,
293,3,P2,Dynamism,Sound B,Sound F,3,4,
294,3,P2,Dynamism,Sound C,Sound B,1,4,
295,3,P2,Dynamism,Sound D,Sound A,1,4,
296,3,P2,Quality,Sound A,Sound C,4,4,
297,3,P2,Quality,Sound B,Sound F,3,4,
298,3,P2,Quality,Sound C,Sound B,2,4,
299,3,P2,Quality,Sound D,Sound A,2,4,
300,3,P8,Harmony,Sound A,Sound B,2,1,
301,3,P8,Harmony,Sound B,Sound A,1,1,
302,3,P8,Harmony,Sound C,Sound F,3,1,
303,3,P8,Harmony,Sound D,Sound C,4,1,
304,3,P8,Dynamism,Sound A,Sound B,1,1,
305,3,P8,Dynamism,Sound B,Sound A,1,1,
306,3,P8,Dynamism,Sound C,Sound F,3,1,
307,3,P8,Dynamism,Sound D,Sound C,1,1,
308,3,P8,Quality,Sound A,Sound B,1,1,
309,3,P8,Quality,Sound B,Sound A,1,1,
310,3,P8,Quality,Sound C,Sound F,3,1,
311,3,P8,Quality,Sound D,Sound C,4,1,
312,3,P4,Harmony,Sound A,Sound C,4,3,
313,3,P4,Harmony,Sound B,Sound B,2,3,
314,3,P4,Harmony,Sound C,Sound A,1,3,
315,3,P4,Harmony,Sound D,Sound F,3,3,
316,3,P4,Dynamism,Sound A,Sound C,4,3,
317,3,P4,Dynamism,Sound B,Sound B,2,3,
318,3,P4,Dynamism,Sound C,Sound A,1,3,
319,3,P4,Dynamism,Sound D,Sound F,3,3,
320,3,P4,Quality,Sound A,Sound C,5,3,
321,3,P4,Quality,Sound B,Sound B,1,3,
322,3,P4,Quality,Sound C,Sound A,2,3,
323,3,P4,Quality,Sound D,Sound F,3,3,
324,3,P10,Harmony,Sound A,Sound B,3,1,
325,3,P10,Harmony,Sound B,Sound C,4,1,
326,3,P10,Harmony,Sound C,Sound A,2,1,
327,3,P10,Harmony,Sound D,Sound F,3,1,
328,3,P10,Dynamism,Sound A,Sound B,4,1,
329,3,P10,Dynamism,Sound B,Sound C,5,1,
330,3,P10,Dynamism,Sound C,Sound A,4,1,
331,3,P10,Dynamism,Sound D,Sound F,3,1,
332,3,P10,Quality,Sound A,Sound B,1,1,
333,3,P10,Quality,Sound B,Sound C,4,1,
334,3,P10,Quality,Sound C,Sound A,2,1,
335,3,P10,Quality,Sound D,Sound F,3,1,
336,3,P5,Harmony,Sound A,Sound B,2,4,
337,3,P5,Harmony,Sound B,Sound C,4,4,
338,3,P5,Harmony,Sound C,Sound F,3,4,
339,3,P5,Harmony,Sound D,Sound A,1,4,
340,3,P5,Dynamism,Sound A,Sound B,2,4,
341,3,P5,Dynamism,Sound B,Sound C,4,4,
342,3,P5,Dynamism,Sound C,Sound F,3,4,
343,3,P5,Dynamism,Sound D,Sound A,1,4,
344,3,P5,Quality,Sound A,Sound B,2,4,
345,3,P5,Quality,Sound B,Sound C,4,4,
346,3,P5,Quality,Sound C,Sound F,3,4,
347,3,P5,Quality,Sound D,Sound A,2,4,
348,3,P6,Harmony,Sound A,Sound B,2,5,
349,3,P6,Harmony,Sound B,Sound F,3,5,
350,3,P6,Harmony,Sound C,Sound C,4,5,
351,3,P6,Harmony,Sound D,Sound A,2,5,
352,3,P6,Dynamism,Sound A,Sound B,2,5,
353,3,P6,Dynamism,Sound B,Sound F,3,5,
354,3,P6,Dynamism,Sound C,Sound C,4,5,
355,3,P6,Dynamism,Sound D,Sound A,1,5,
356,3,P6,Quality,Sound A,Sound B,1,5,
357,3,P6,Quality,Sound B,Sound F,3,5,
358,3,P6,Quality,Sound C,Sound C,4,5,
359,3,P6,Quality,Sound D,Sound A,1,5,
360,3,P11,Harmony,Sound A,Sound B,2,1,
361,3,P11,Harmony,Sound B,Sound F,3,1,
362,3,P11,Harmony,Sound C,Sound C,4,1,
363,3,P11,Harmony,Sound D,Sound A,2,1,
364,3,P11,Dynamism,Sound A,Sound B,4,1,
365,3,P11,Dynamism,Sound B,Sound F,3,1,
366,3,P11,Dynamism,Sound C,Sound C,5,1,
367,3,P11,Dynamism,Sound D,Sound A,2,1,
368,3,P11,Quality,Sound A,Sound B,2,1,
369,3,P11,Quality,Sound B,Sound F,3,1,
370,3,P11,Quality,Sound C,Sound C,4,1,
371,3,P11,Quality,Sound D,Sound A,1,1,
372,3,P3,Harmony,Sound A,Sound A,2,3,
373,3,P3,Harmony,Sound B,Sound C,4,3,
374,3,P3,Harmony,Sound C,Sound F,3,3,
375,3,P3,Harmony,Sound D,Sound B,2,3,
376,3,P3,Dynamism,Sound A,Sound A,1,3,
377,3,P3,Dynamism,Sound B,Sound C,5,3,
378,3,P3,Dynamism,Sound C,Sound F,3,3,
379,3,P3,Dynamism,Sound D,Sound B,2,3,
380,3,P3,Quality,Sound A,Sound A,3,3,
381,3,P3,Quality,Sound B,Sound C,5,3,
382,3,P3,Quality,Sound C,Sound F,3,3,
383,3,P3,Quality,Sound D,Sound B,3,3,
384,3,P1,Harmony,Sound A,Sound C,5,4,
385,3,P1,Harmony,Sound B,Sound B,2,4,
386,3,P1,Harmony,Sound C,Sound F,3,4,
387,3,P1,Harmony,Sound D,Sound A,2,4,
388,3,P1,Dynamism,Sound A,Sound C,5,4,
389,3,P1,Dynamism,Sound B,Sound B,2,4,
390,3,P1,Dynamism,Sound C,Sound F,3,4,
391,3,P1,Dynamism,Sound D,Sound A,1,4,
392,3,P1,Quality,Sound A,Sound C,5,4,
393,3,P1,Quality,Sound B,Sound B,1,4,
394,3,P1,Quality,Sound C,Sound F,3,4,
395,3,P1,Quality,Sound D,Sound A,2,4,
396,3,P12,Harmony,Sound A,Sound B,2,1,
397,3,P12,Harmony,Sound B,Sound A,2,1,
398,3,P12,Harmony,Sound C,Sound C,5,1,
399,3,P12,Harmony,Sound D,Sound F,3,1,
400,3,P12,Dynamism,Sound A,Sound B,3,1,
401,3,P12,Dynamism,Sound B,Sound A,1,1,
402,3,P12,Dynamism,Sound C,Sound C,4,1,
403,3,P12,Dynamism,Sound D,Sound F,3,1,
404,3,P12,Quality,Sound A,Sound B,2,1,
405,3,P12,Quality,Sound B,Sound A,1,1,
406,3,P12,Quality,Sound C,Sound C,5,1,
407,3,P12,Quality,Sound D,Sound F,3,1,
408,3,P7,Harmony,Sound A,Sound C,4,1,
409,3,P7,Harmony,Sound B,Sound B,2,1,
410,3,P7,Harmony,Sound C,Sound A,2,1,
411,3,P7,Harmony,Sound D,Sound F,3,1,
412,3,P7,Dynamism,Sound A,Sound C,5,1,
413,3,P7,Dynamism,Sound B,Sound B,4,1,
414,3,P7,Dynamism,Sound C,Sound A,2,1,
415,3,P7,Dynamism,Sound D,Sound F,3,1,
416,3,P7,Quality,Sound A,Sound C,4,1,
417,3,P7,Quality,Sound B,Sound B,2,1,
418,3,P7,Quality,Sound C,Sound A,2,1,
419,3,P7,Quality,Sound D,Sound F,3,1,
420,3,P9,Harmony,Sound A,Sound B,5,1,
421,3,P9,Harmony,Sound B,Sound F,3,1,
422,3,P9,Harmony,Sound C,Sound C,5,1,
423,3,P9,Harmony,Sound D,Sound A,2,1,
424,3,P9,Dynamism,Sound A,Sound B,3,1,
425,3,P9,Dynamism,Sound B,Sound F,3,1,
426,3,P9,Dynamism,Sound C,Sound C,5,1,
427,3,P9,Dynamism,Sound D,Sound A,1,1,
428,3,P9,Quality,Sound A,Sound B,2,1,
429,3,P9,Quality,Sound B,Sound F,3,1,
430,3,P9,Quality,Sound C,Sound C,5,1,
431,3,P9,Quality,Sound D,Sound A,2,1,
432,4,P2,Harmony,Sound A,Sound C,5,4,too similar sounds
433,4,P2,Harmony,Sound B,Sound F,3,4,too similar sounds
434,4,P2,Harmony,Sound C,Sound B,4,4,too similar sounds
435,4,P2,Harmony,Sound D,Sound A,3,4,too similar sounds
436,4,P2,Dynamism,Sound A,Sound C,5,4,
437,4,P2,Dynamism,Sound B,Sound F,3,4,
438,4,P2,Dynamism,Sound C,Sound B,2,4,
439,4,P2,Dynamism,Sound D,Sound A,2,4,
440,4,P2,Quality,Sound A,Sound C,5,4,
441,4,P2,Quality,Sound B,Sound F,3,4,
442,4,P2,Quality,Sound C,Sound B,1,4,
443,4,P2,Quality,Sound D,Sound A,1,4,
444,4,P8,Harmony,Sound A,Sound B,2,1,didn't like any of them
445,4,P8,Harmony,Sound B,Sound A,2,1,didn't like any of them
446,4,P8,Harmony,Sound C,Sound F,3,1,didn't like any of them
447,4,P8,Harmony,Sound D,Sound C,4,1,didn't like any of them
448,4,P8,Dynamism,Sound A,Sound B,3,1,
449,4,P8,Dynamism,Sound B,Sound A,1,1,
450,4,P8,Dynamism,Sound C,Sound F,3,1,
451,4,P8,Dynamism,Sound D,Sound C,5,1,
452,4,P8,Quality,Sound A,Sound B,2,1,
453,4,P8,Quality,Sound B,Sound A,1,1,
454,4,P8,Quality,Sound C,Sound F,3,1,
455,4,P8,Quality,Sound D,Sound C,4,1,
456,4,P4,Harmony,Sound A,Sound C,4,3,
457,4,P4,Harmony,Sound B,Sound B,2,3,
458,4,P4,Harmony,Sound C,Sound A,2,3,
459,4,P4,Harmony,Sound D,Sound F,3,3,
460,4,P4,Dynamism,Sound A,Sound C,5,3,
461,4,P4,Dynamism,Sound B,Sound B,3,3,
462,4,P4,Dynamism,Sound C,Sound A,1,3,
463,4,P4,Dynamism,Sound D,Sound F,3,3,
464,4,P4,Quality,Sound A,Sound C,4,3,
465,4,P4,Quality,Sound B,Sound B,1,3,
466,4,P4,Quality,Sound C,Sound A,1,3,
467,4,P4,Quality,Sound D,Sound F,3,3,
468,4,P10,Harmony,Sound A,Sound B,2,1,
469,4,P10,Harmony,Sound B,Sound C,5,1,
470,4,P10,Harmony,Sound C,Sound A,4,1,
471,4,P10,Harmony,Sound D,Sound F,3,1,
472,4,P10,Dynamism,Sound A,Sound B,5,1,
473,4,P10,Dynamism,Sound B,Sound C,5,1,
474,4,P10,Dynamism,Sound C,Sound A,2,1,
475,4,P10,Dynamism,Sound D,Sound F,3,1,
476,4,P10,Quality,Sound A,Sound B,1,1,
477,4,P10,Quality,Sound B,Sound C,5,1,
478,4,P10,Quality,Sound C,Sound A,1,1,
479,4,P10,Quality,Sound D,Sound F,3,1,
480,4,P5,Harmony,Sound A,Sound B,1,3,
481,4,P5,Harmony,Sound B,Sound C,4,3,
482,4,P5,Harmony,Sound C,Sound F,3,3,
483,4,P5,Harmony,Sound D,Sound A,1,3,
484,4,P5,Dynamism,Sound A,Sound B,2,3,
485,4,P5,Dynamism,Sound B,Sound C,5,3,
486,4,P5,Dynamism,Sound C,Sound F,3,3,
487,4,P5,Dynamism,Sound D,Sound A,2,3,
488,4,P5,Quality,Sound A,Sound B,2,3,
489,4,P5,Quality,Sound B,Sound C,4,3,
490,4,P5,Quality,Sound C,Sound F,3,3,
491,4,P5,Quality,Sound D,Sound A,1,3,
492,4,P6,Harmony,Sound A,Sound B,1,5,
493,4,P6,Harmony,Sound B,Sound F,3,5,
494,4,P6,Harmony,Sound C,Sound C,5,5,
495,4,P6,Harmony,Sound D,Sound A,1,5,
496,4,P6,Dynamism,Sound A,Sound B,3,5,
497,4,P6,Dynamism,Sound B,Sound F,3,5,
498,4,P6,Dynamism,Sound C,Sound C,5,5,
499,4,P6,Dynamism,Sound D,Sound A,2,5,
500,4,P6,Quality,Sound A,Sound B,2,5,
501,4,P6,Quality,Sound B,Sound F,3,5,
502,4,P6,Quality,Sound C,Sound C,5,5,
503,4,P6,Quality,Sound D,Sound A,2,5,
504,4,P11,Harmony,Sound A,Sound B,2,1,
505,4,P11,Harmony,Sound B,Sound F,3,1,
506,4,P11,Harmony,Sound C,Sound C,4,1,
507,4,P11,Harmony,Sound D,Sound A,1,1,
508,4,P11,Dynamism,Sound A,Sound B,4,1,
509,4,P11,Dynamism,Sound B,Sound F,3,1,
510,4,P11,Dynamism,Sound C,Sound C,5,1,
511,4,P11,Dynamism,Sound D,Sound A,2,1,
